Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Narathiwat,1621,3881,98,,112,THB,1.78787464,,2.88585416,175.21171513,2026-03-01,2026-03-31
"Yala Province",1462,3433,101,,117,THB,1.69783629,,3.40809787,171.48146571,2026-03-01,2026-03-31
Phetchaburi,1364,3241,110,,146,THB,1.47655327,,4.50478247,162.42085989,2026-03-01,2026-03-31
"Kamphaeng Phet",1380,3776,116,,144,THB,1.39009295,,3.81355932,161.25078166,2026-03-01,2026-03-31
"Sa Kaeo",1073,2913,110,,133,THB,1.42154959,,4.56573979,156.37045535,2026-03-01,2026-03-31
Mukdahan,1028,2266,83,,85,THB,1.85024419,,3.75110327,153.57026812,2026-03-01,2026-03-31
Sukhothai,1394,3006,71,,68,THB,2.16070785,,2.26214238,153.41025742,2026-03-01,2026-03-31
Phichit,1191,2720,66,,76,THB,2.09801907,,2.79411765,138.46925843,2026-03-01,2026-03-31
"Nong Bua Lam Phu",1021,2372,97,,113,THB,1.3409144,,4.76391231,130.06869674,2026-03-01,2026-03-31
"Amnat Charoen",733,1891,78,,70,THB,1.56138645,,3.70174511,121.78814308,2026-03-01,2026-03-31
Uttaradit,1105,2656,77,,96,THB,1.51945224,,3.61445783,116.99782279,2026-03-01,2026-03-31
"Bueng Kan",940,2006,51,,55,THB,2.27289707,,2.74177468,115.91775057,2026-03-01,2026-03-31
Phangnga,958,2276,71,,82,THB,1.60489604,,3.60281195,113.94761884,2026-03-01,2026-03-31
Lamphun,890,2082,67,,81,THB,1.64443831,,3.89048991,110.17736675,2026-03-01,2026-03-31
Satun,890,2357,38,,57,THB,2.892825,,2.41832838,109.92735004,2026-03-01,2026-03-31
Phrae,867,1955,66,,87,THB,1.52055621,,4.45012788,100.35671012,2026-03-01,2026-03-31
Phayao,943,2125,61,,71,THB,1.58141721,,3.34117647,96.46645001,2026-03-01,2026-03-31
"Ang Thong",717,1805,56,,55,THB,1.68189817,,3.04709141,94.18629755,2026-03-01,2026-03-31
"Chai Nat",912,1940,49,,61,THB,1.83563294,,3.1443299,89.94601403,2026-03-01,2026-03-31
Nan,850,1703,49,,59,THB,1.74807606,,3.46447446,85.65572717,2026-03-01,2026-03-31
Trat,756,1617,53,,62,THB,1.54010298,,3.83426098,81.6254577,2026-03-01,2026-03-31
"Uthai Thani",773,1797,38,,57,THB,2.13198466,,3.17195326,81.01541691,2026-03-01,2026-03-31
"Nakhon Nayok",658,1501,38,,49,THB,2.09461374,,3.26449034,79.59532196,2026-03-01,2026-03-31
Ranong,668,1663,36,,41,THB,1.96568699,,2.46542393,70.76473152,2026-03-01,2026-03-31
"Sing Buri",639,1367,34,,38,THB,1.82100411,,2.7798098,61.91413975,2026-03-01,2026-03-31
"Mae Hong Son",398,935,23,,29,THB,1.91969357,,3.10160428,44.15295218,2026-03-01,2026-03-31
"Samut Songkhram",478,884,24,,27,THB,1.75261718,,3.05429864,42.06281243,2026-03-01,2026-03-31
Unknown,50,65,,,0,THB,,,0,1.67011167,2026-03-01,2026-03-31
Niedersachsen,1,9,1,,1,THB,0.88005884,,11.11111111,0.88005884,2026-03-01,2026-03-31
"Khammouane Province",10,13,,,1,THB,,,7.69230769,0.64004279,2026-03-01,2026-03-31
Kedah,3,4,,,0,THB,,,0,0.43002875,2026-03-01,2026-03-31
"Metro Manila",1,1,,,1,THB,,,100,0.43002875,2026-03-01,2026-03-31
"Banteay Meanchey Province",2,6,,,0,THB,,,0,0.43002875,2026-03-01,2026-03-31
Bayern,1,7,,,0,THB,,,0,0.42002808,2026-03-01,2026-03-31
Uusimaa,2,2,,,0,THB,,,0,0.37002474,2026-03-01,2026-03-31
Mecklenburg-Vorpommern,1,3,1,,1,THB,0.33002207,,33.33333333,0.33002207,2026-03-01,2026-03-31
"Vientiane Prefecture",4,6,,,1,THB,,,16.66666667,0.26001739,2026-03-01,2026-03-31
Yangon,4,4,,,0,THB,,,0,0.1900127,2026-03-01,2026-03-31
Thüringen,1,2,1,,1,THB,0.17001137,,50,0.17001137,2026-03-01,2026-03-31
Perlis,2,2,,,0,THB,,,0,0.13000869,2026-03-01,2026-03-31
Selangor,2,4,,,0,THB,,,0,0.12000802,2026-03-01,2026-03-31
"Champasak Province",1,2,,,0,THB,,,0,0.09000602,2026-03-01,2026-03-31
"Vientiane Province",2,2,,,0,THB,,,0,0.08000535,2026-03-01,2026-03-31
Michigan,1,3,,,0,THB,,,0,0.08000535,2026-03-01,2026-03-31
Hessen,2,5,,,0,THB,,,0,0.08000535,2026-03-01,2026-03-31
"Shan State",1,2,,,0,THB,,,0,0.06000401,2026-03-01,2026-03-31
Penang,1,1,,,0,THB,,,0,0.06000401,2026-03-01,2026-03-31
"Bolikhamsai Province",1,1,,,0,THB,,,0,0.06000401,2026-03-01,2026-03-31
"Brunei-Muara District",1,3,,,0,THB,,,0,0.05000334,2026-03-01,2026-03-31
"Kumamoto Prefecture",1,2,,,0,THB,,,0,0.04000267,2026-03-01,2026-03-31
"New Taipei City",1,2,,,0,THB,,,0,0.04000267,2026-03-01,2026-03-31
Singapore,1,1,,,0,THB,,,0,0.04000267,2026-03-01,2026-03-31
"Mon State",1,1,,,0,THB,,,0,0.03000201,2026-03-01,2026-03-31
"Attapeu Province",1,1,,,0,THB,,,0,0.02000134,2026-03-01,2026-03-31
Kelantan,2,2,,,0,THB,,,0,0.02000134,2026-03-01,2026-03-31
Hanoi,1,1,,,0,THB,,,0,0.02000134,2026-03-01,2026-03-31
"Flemish Region",1,1,,,0,THB,,,0,0.02000134,2026-03-01,2026-03-31
"East Java",1,1,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
"Salavan Province",1,1,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
Brussels,1,1,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
"Hong Kong",1,2,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
Uri,1,1,1,,1,THB,0.01000067,,100,0.01000067,2026-03-01,2026-03-31
Chongqing,1,1,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
Nordrhein-Westfalen,2,2,,,0,THB,,,0,0.01000067,2026-03-01,2026-03-31
"Savannakhet Province",1,1,,,0,THB,,,0,0,2026-03-01,2026-03-31
