Region,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
Pattani,710,1509,92,,87,THB,1.15297217,,5.76540755,106.07343931,2026-05-01,2026-05-31
Nan,411,1294,57,,62,THB,1.83988422,,4.79134467,104.8734004,2026-05-01,2026-05-31
Phatthalung,508,1664,86,,95,THB,1.17050307,,5.70913462,100.66326389,2026-05-01,2026-05-31
Phayao,425,1610,51,,60,THB,1.94496502,,3.72670807,99.19321622,2026-05-01,2026-05-31
Loei,692,1629,92,,98,THB,0.93329113,,6.01596071,85.862784,2026-05-01,2026-05-31
Phichit,434,1265,56,,68,THB,1.42218897,,5.37549407,79.64258232,2026-05-01,2026-05-31
Narathiwat,693,1363,80,,71,THB,0.9531559,,5.20909758,76.2524724,2026-05-01,2026-05-31
"Bueng Kan",398,1241,63,,70,THB,1.18464159,,5.64061241,74.63241987,2026-05-01,2026-05-31
"Yala Province",639,1621,70,,84,THB,0.95517383,,5.18198643,66.86216793,2026-05-01,2026-05-31
"Ang Thong",313,1169,100,,122,THB,0.66472155,,10.43627032,66.47215528,2026-05-01,2026-05-31
Phrae,463,1293,63,,74,THB,0.9873336,,5.72312452,62.20201683,2026-05-01,2026-05-31
"Chai Nat",315,925,38,,47,THB,1.59505172,,5.08108108,60.61196527,2026-05-01,2026-05-31
Uttaradit,457,1377,56,,70,THB,1.0582486,,5.08351489,59.2619215,2026-05-01,2026-05-31
Lamphun,471,1220,65,,77,THB,0.8958752,,6.31147541,58.2318881,2026-05-01,2026-05-31
Sukhothai,469,1246,66,,78,THB,0.88078613,,6.2600321,58.13188486,2026-05-01,2026-05-31
Ranong,299,896,58,,63,THB,0.8850287,,7.03125,51.33166437,2026-05-01,2026-05-31
"Nakhon Nayok",336,1005,75,,88,THB,0.68122209,,8.75621891,51.09165659,2026-05-01,2026-05-31
Trat,360,892,56,,57,THB,0.85484915,,6.39013453,47.87155218,2026-05-01,2026-05-31
Satun,443,913,59,,57,THB,0.78070328,,6.24315444,46.06149349,2026-05-01,2026-05-31
"Mae Hong Son",182,556,20,,14,THB,1.6685541,,2.51798561,33.37108202,2026-05-01,2026-05-31
"Sing Buri",265,569,29,,34,THB,1.11382922,,5.97539543,32.30104732,2026-05-01,2026-05-31
"Samut Songkhram",269,592,24,,32,THB,1.34421025,,5.40540541,32.26104603,2026-05-01,2026-05-31
"Uthai Thani",277,621,17,,21,THB,1.06591691,,3.38164251,18.12058754,2026-05-01,2026-05-31
