"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Msg | Gift For Mon Sale up to 60% off | 1-15 Aug 2025","3020 | BU DIA | Msg | Gift For Mom Sale up to 60% off (Msg)","3020 | BU DIA | Msg | Gift For Mon Sale up to 60% off",35-44,female,2333,12932,686,27,1027,THB,1.83542796,46.6334659,7.94154036,1259.10357923,2025-08-01,2025-08-31
"3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา","3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา","3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา",35-44,female,4828,16879,1279,18,1598,THB,0.87772877,62.36750522,9.46738551,1122.6150939,2025-08-01,2025-08-31
"3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025","3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025","3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025",25-34,female,14749,31656,2844,6,3873,THB,0.38645921,183.18166667,12.23464746,1099.09,2025-08-01,2025-08-31
"3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off | 16 - 31 Aug 2025","3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off | 16 - 31 Aug 2025","3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off",35-44,female,4855,16281,1044,34,1467,THB,1.03197318,31.68764706,9.01050304,1077.38,2025-08-01,2025-08-31
"3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา","3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา","3020 | BU DIA | MSG | เลี้ยงมาด้วยใจ ตอบแทนด้วยเพชร ลดสูดสุด 60% | 1-12 Aug 68 - สำเนา",25-34,female,4936,17670,986,21,1378,THB,1.07822259,50.62511778,7.79852858,1063.12747348,2025-08-01,2025-08-31
"3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off | 16 - 31 Aug 2025","3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off | 16 - 31 Aug 2025","3020 | BU DIA | MSG| Gifts From The Heart Sale up to 60% off",25-34,female,4782,16565,658,36,1063,THB,1.60720365,29.37611111,6.41714458,1057.54,2025-08-01,2025-08-31
"3020 | BU DIA | Msg | Gift For Mon Sale up to 60% off | 1-15 Aug 2025","3020 | BU DIA | Msg | Gift For Mom Sale up to 60% off (Msg)","3020 | BU DIA | Msg | Gift For Mon Sale up to 60% off",25-34,female,2436,11795,462,20,749,THB,2.27194371,52.48189965,6.35014837,1049.63799296,2025-08-01,2025-08-31
"3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68","3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68","3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68",35-44,female,3376,10856,442,26,691,THB,2.29288126,38.97898143,6.3651437,1013.45351708,2025-08-01,2025-08-31
"3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68","3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68","3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68",45-54,female,9409,21855,2561,47,3277,THB,0.39491214,21.51851064,14.99428049,1011.37,2025-08-01,2025-08-31
"3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025","3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025","3020 | BU DIA | Engage FB| Private Sale | 24 - 28 Aug 2025",35-44,female,10945,26693,2690,10,3552,THB,0.36783271,98.947,13.30685948,989.47,2025-08-01,2025-08-31
"3020 | BU DIA | Engage FB| Tinder x Aurora Diamond  | 18 - 30 Aug 2025","3020 | BU DIA | Engage FB| Tinder x Aurora Diamond  | 18 - 30 Aug 2025","3020 | BU DIA | Engage FB| Tinder x Aurora Diamond  | 18 - 30 Aug 2025",25-34,male,37739,60139,693,6,664,THB,1.41711426,163.67669651,1.10410881,982.06017906,2025-08-01,2025-08-31
"3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68","3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68","3020 | BU DIA | MSG | เลี้ยงด้วยใจ เเทนคุณด้วยเพชร ลดสูงสุด 60% | 13-31 Aug 68",25-34,female,3497,10460,256,23,536,THB,3.68684605,41.0361995,5.12428298,943.8325885,2025-08-01,2025-08-31
"3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68","3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68","3020 | BU DIA | Engage | Pearl Deals You Can't Miss Up to 60% Off | 1-31 Aug 68",35-44,female,9172,20422,2026,56,2765,THB,0.39715202,14.36839286,13.53932034,804.63,2025-08-01,2025-08-31
