"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025",65+,female,616,1181,63,,107,THB,0.65263431,,9.06011854,41.11596181,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | Engage | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025","3020 | BU DIA | MSG | MAY DAY MAY DEAL SALE ลดสูงสุด 50%  | 2-31 MAY 2025",35-44,male,206,438,32,,36,THB,1.28388267,,8.21917808,41.08424537,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Package | 4-31 MAY 2025",45-54,male,584,1004,61,,90,THB,0.64140448,,8.96414343,39.12567322,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | Engage | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",45-54,male,512,1146,124,,164,THB,0.30980153,,14.31064572,38.41539015,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025","3020 | BU DIA | MSG | SUPER SURPRISE SALE  | 16-31 MAY 2025",25-34,male,276,690,38,1,50,THB,0.95238233,36.19052843,7.24637681,36.19052843,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",65+,female,832,1767,197,1,247,THB,0.17440491,34.35776675,13.97849462,34.35776675,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025","3020 | BU DIA | Engage | LEVA Collection | 7-31 MAY 2025",55-64,male,304,702,56,,71,THB,0.58331931,,10.11396011,32.66588164,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025","3020 | BU DIA | Engage | Bright Pearl Collection / New Arrival MMDC043 | 14-31 MAY 2025",65+,female,464,1013,70,1,101,THB,0.43401881,30.38131652,9.970385,30.38131652,2025-05-01,2025-05-31
"3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025","3020 | BU DIA | MSG | (LEVA) SUMMER SALE เพชรใบเซอร์ LEVA Collection  | 1-31 MAY 2025",65+,female,30,187,14,,18,THB,2.15350325,,9.62566845,30.14904547,2025-05-01,2025-05-31
"3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025","3020 | BU DIA | Engage | SUMMER SALE เริ่มต้นเพียง 11,900.-  | 1-31 MAY 2025",35-44,male,976,1833,149,,169,THB,0.19804082,,9.21985816,29.50808197,2025-05-01,2025-05-31
