"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | DIA | Awareness | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Awareness  - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | DIA | Awareness  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26 [Other-Province]",25-34,male,18489,23521,26,,28,THB,7.60520234,,0.11904256,197.73526082,2026-08-01,2026-08-10
"2200 | DIA | Awareness | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก | 1 - 31 Aug 26","Awareness  - วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26","2200 | DIA | Awareness  | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26 [Other-Province]",25-34,male,17742,20671,64,,43,THB,2.80305179,,0.2080209,179.39531439,2026-08-01,2026-08-10
"2200 | Pearl | Message  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Message - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | Pearl | Message | A gift of Grace A Present of Pearls | 1 - 31 Aug 26  [BKK]",55-64,female,889,1519,60,4,78,THB,2.9054571,43.58185656,5.13495721,174.32742624,2026-08-01,2026-08-10
"2200 | DIA | Message  | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก | 1 - 31 Aug 26","Message - วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26","2200 | DIA | Message | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26  [BKK]",45-54,female,563,1166,173,1,210,THB,0.99612925,172.33035972,18.0102916,172.33035972,2026-08-01,2026-08-10
"2200 | Pearl | Awareness | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Awareness - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | Pearl | Awareness  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26 [Other-Province]",25-34,female,13879,16146,14,,16,THB,11.82467072,,0.09909575,165.54539009,2026-08-01,2026-08-10
"2200 | Pearl | Message  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Message - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | Pearl | Message | A gift of Grace A Present of Pearls | 1 - 31 Aug 26 [Other-Province]",45-54,female,1083,1838,74,19,99,THB,2.11235002,8.22704744,5.38628945,156.31390143,2026-08-01,2026-08-10
"2200 | DIA | Awareness | Wedding Package | 1 - 31 Aug 26","Awareness   - Wedding Package -1 - 31 Aug 26","2200 | DIA | Message | Wedding Package | 1 - 31 Aug 26  [BKK]",25-34,male,17560,18972,67,,73,THB,2.30557542,,0.38477757,154.473553,2026-08-01,2026-08-10
"2200 | Pearl | Message  | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Message - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | Pearl | Message | A gift of Grace A Present of Pearls | 1 - 31 Aug 26 [Other-Province]",25-34,female,1434,2336,48,9,96,THB,3.14999773,16.79998788,4.10958904,151.1998909,2026-08-01,2026-08-10
"2200 | DIA | Message  | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก | 1 - 31 Aug 26","Message - วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26","2200 | DIA | Message | วันแม่ปีนี้ มอบสิ่งล้ำค่าแทนคำว่ารัก  - 1 - 31 AUG 26 [Other-Province]",45-54,female,478,1113,126,2,159,THB,1.17938002,74.3009415,14.28571429,148.60188301,2026-08-01,2026-08-10
"2200 | Pearl | Awareness | A gift of Grace A Present of Pearls | 1 - 31 Aug 26","Awareness  - Pearl - A gift of Grace A Present of Pearls | 1 - 31 Aug 26","2200 | Pearl |  Awareness | A gift of Grace A Present of Pearls | 1 - 31 Aug 26  [BKK]",18-24,female,14519,17002,14,,21,THB,10.53121368,,0.12351488,147.43699149,2026-08-01,2026-08-10
