"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Interest]",18-24,unknown,3,4,,,0,THB,,,0,0.12000981,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25 [Retargeting]",55-64,unknown,2,2,,,0,THB,,,0,0.11000878,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",25-34,unknown,4,5,,,0,THB,,,0,0.11,2025-10-01,2025-10-31
"3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",65+,unknown,3,3,,,0,THB,,,0,0.10000095,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25 [Interest]",18-24,unknown,2,5,,,0,THB,,,0,0.09001419,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",25-34,unknown,3,3,,,0,THB,,,0,0.09001035,2025-10-01,2025-10-31
"3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Retargeting]",55-64,unknown,5,5,1,,1,THB,0.09000879,,20,0.09000879,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25","เพชรแท้ตามงบ ครบจบที่นี่","3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25 [Retargeting]",55-64,unknown,3,3,,,0,THB,,,0,0.09000304,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Message | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Interest]",55-64,unknown,1,2,,,0,THB,,,0,0.08000654,2025-10-01,2025-10-31
"3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Engage  | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",55-64,unknown,3,3,,,1,THB,,,33.33333333,0.08000076,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25","เพชรแท้ตามงบ ครบจบที่นี่","3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25  [Interest]",55-64,unknown,4,4,,,0,THB,,,0,0.07000378,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25","เพชรแท้ตามงบ ครบจบที่นี่","3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25  [Interest]",65+,unknown,2,2,,,0,THB,,,0,0.07000378,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Interest]",65+,unknown,1,1,1,,1,THB,0.07,,100,0.07,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Interest]",18-24,unknown,3,5,,,0,THB,,,0,0.06999893,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Interest]",65+,unknown,3,5,,,0,THB,,,0,0.05999908,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25 [Retargeting]",65+,unknown,1,1,,,0,THB,,,0,0.05000607,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Engage | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Retargeting]",65+,unknown,2,2,,,0,THB,,,0,0.05000371,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25","เพชรแท้ตามงบ ครบจบที่นี่","3020 | BU DIA | Engage | เพชรแท้ตามงบ ครบจบที่นี่ | 17-30 Oct 25 [Retargeting]",65+,unknown,2,2,,,0,THB,,,0,0.03000101,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Engage | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",65+,unknown,1,1,,,0,THB,,,0,0.0200023,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Retargeting]",18-24,unknown,1,1,,,0,THB,,,0,0.02000081,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Message | Wedding Package sale up to 60% off | 1-31 Oct 25 [Retargeting]",55-64,unknown,1,1,,,0,THB,,,0,0.02000039,2025-10-01,2025-10-31
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",18-24,unknown,3,5,,,0,THB,,,0,0.02000013,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25","Wedding Package sale up to 60% off","3020 | BU DIA | Engage | Wedding Package sale up to 60% off | 1-31 Oct 25 [Interest]",55-64,unknown,1,1,1,,1,THB,0.01999879,,100,0.01999879,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25","Your Diamond Your Gift Sale up to 60% off","3020 | BU DIA | Engage | Your Diamond Your Gift Sale up to 60% off | 1-15 Oct 25 [Retargeting]",65+,unknown,1,1,,,0,THB,,,0,0.01000084,2025-10-01,2025-10-31
"3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25","เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off","3020 | BU DIA | Message | เพชรเเท้ที่ใช่ ในงบที่ชอบ Sale up to 60% off | 16-30 Oct 25 [Retargeting]",55-64,unknown,1,1,,,0,THB,,,0,0.01000069,2025-10-01,2025-10-31
"3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25","One Price ราคาเดียว 13,900.-","3020 | BU DIA | Message | One Price ราคาเดียว 13,900.- | 1-31 Oct 25 [Interest]",55-64,unknown,1,1,,,0,THB,,,0,0.01000006,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",18-24,female,0,0,,1,0,THB,,0,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25","Pearl Essential sale up to 70%","3020 | BU DIA | Message | Pearl Essential sale up to 70% | 1-31 Oct 25 [Interest]",18-24,unknown,2,6,,,0,THB,,,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 13-30 Sep 68 [Retargeting]",25-34,female,0,0,,1,0,THB,,0,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Engage | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",25-34,female,0,0,,1,0,THB,,0,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | BU DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68","3020 | DIA | Message | September Big Deal sale up 50% off | 13-30 Sep 68 [Interest]",35-44,female,0,0,,1,0,THB,,0,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",35-44,female,0,0,,3,0,THB,,0,0,0,2025-10-01,2025-10-31
"3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | BU DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68","3020 | DIA | Message | Grand Sale up to 70% off | 20-30 Sep 68 [Retargeting]",45-54,female,0,0,,2,0,THB,,0,0,0,2025-10-01,2025-10-31
