"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",45-54,male,288,622,38,,61,THB,1.45082892,,9.80707395,55.13149912,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",45-54,male,912,2033,77,,98,THB,0.64103896,,4.82046237,49.36,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,male,528,988,102,,112,THB,0.48058824,,11.33603239,49.02,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",65+,female,128,315,28,1,38,THB,1.74475442,48.85312381,12.06349206,48.85312381,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,male,248,664,25,1,37,THB,1.70040486,42.51012146,5.57228916,42.51012146,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",65+,female,1056,1293,102,1,132,THB,0.41235294,42.06,10.20881671,42.06,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",65+,female,664,1517,130,,178,THB,0.32318357,,11.7336849,42.01386458,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",35-44,male,1168,1382,117,1,144,THB,0.3557265,41.62,10.41968162,41.62,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",65+,female,86,475,18,3,37,THB,2.12888889,12.77333333,7.78947368,38.32,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,male,332,651,70,,78,THB,0.53214286,,11.98156682,37.25,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",55-64,female,608,1225,108,1,160,THB,0.32860231,35.48904929,13.06122449,35.48904929,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",18-24,male,592,592,39,,39,THB,0.85128205,,6.58783784,33.2,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,male,720,1597,97,,126,THB,0.3391841,,7.88979336,32.90085728,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",35-44,unknown,24,131,14,1,23,THB,2.19903009,30.78642131,17.55725191,30.78642131,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",45-54,male,624,998,118,,154,THB,0.26023585,,15.43086172,30.70783013,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",25-34,male,824,1580,104,2,138,THB,0.29490501,15.33506057,8.73417722,30.67012114,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",55-64,male,64,114,16,1,23,THB,1.80350117,28.85601868,20.1754386,28.85601868,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,male,184,474,14,,25,THB,1.86,,5.2742616,26.04,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",55-64,male,496,955,35,,48,THB,0.73857143,,5.02617801,25.85,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",45-54,male,512,734,56,1,70,THB,0.41410714,23.19,9.53678474,23.19,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",65+,female,152,316,10,,19,THB,2.21146126,,6.01265823,22.11461258,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,male,384,965,72,,86,THB,0.30496175,,8.9119171,21.95724589,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",55-64,male,160,335,35,1,41,THB,0.60685714,21.24,12.23880597,21.24,2025-07-01,2025-07-31
