"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",25-34,unknown,48,93,5,,7,THB,1.2182541,,7.52688172,6.09127049,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",35-44,unknown,64,196,28,,38,THB,0.18504718,,19.3877551,5.18132118,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",65+,male,144,184,22,,27,THB,0.2036883,,14.67391304,4.48114264,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",55-64,male,44,63,1,,5,THB,4.26201735,,7.93650794,4.26201735,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,unknown,10,21,6,,5,THB,0.64666667,,23.80952381,3.88,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",35-44,unknown,48,104,13,,13,THB,0.28923077,,12.5,3.76,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",45-54,unknown,112,121,9,1,17,THB,0.38888889,3.5,14.04958678,3.5,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",35-44,unknown,80,145,1,,5,THB,3.4,,3.44827586,3.4,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",65+,male,32,95,5,,5,THB,0.674,,5.26315789,3.37,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",65+,male,56,119,4,,5,THB,0.75775006,,4.20168067,3.03100023,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",65+,male,12,20,,,0,THB,,,0,2.92,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",45-54,unknown,16,47,3,,4,THB,0.85666667,,8.5106383,2.57,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",25-34,unknown,64,105,3,,4,THB,0.82,,3.80952381,2.46,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",18-24,unknown,32,37,3,,1,THB,0.75,,2.7027027,2.25,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",35-44,unknown,88,108,10,,17,THB,0.22207328,,15.74074074,2.22073284,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",45-54,unknown,48,66,4,,5,THB,0.495,,7.57575758,1.98,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,unknown,20,31,2,,2,THB,0.855,,6.4516129,1.71,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",35-44,unknown,20,24,1,,1,THB,1.71,,4.16666667,1.71,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",25-34,unknown,4,18,1,1,2,THB,1.64,1.64,11.11111111,1.64,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",65+,male,16,25,,,0,THB,,,0,1.60075769,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",45-54,unknown,24,59,6,,8,THB,0.23507758,,13.55932203,1.41046545,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",25-34,unknown,8,23,2,,2,THB,0.59,,8.69565217,1.18,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",25-34,unknown,8,51,3,,4,THB,0.38679431,,7.84313725,1.16038293,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",45-54,unknown,36,36,3,,5,THB,0.36009182,,13.88888889,1.08027546,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",25-34,unknown,8,16,,,0,THB,,,0,0.60028413,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",55-64,unknown,16,16,,,0,THB,,,0,0.44,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",55-64,unknown,0,6,1,,1,THB,0.3,,16.66666667,0.3,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025","3020 | BU DIA | Engage | Bright Peart Collection | 3-16 Jul 2025",65+,unknown,0,10,,,0,THB,,,0,0.22,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",55-64,unknown,0,5,,,0,THB,,,0,0.17004336,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",55-64,unknown,0,6,,,0,THB,,,0,0.11003631,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68","3020 | BU DIA | Engage | Celebrate your July | 29-31 Jul 68",65+,unknown,0,3,,,0,THB,,,0,0.11,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | MSG | Glow Up in July Sale up to 60% | 16-31 Jul 68",55-64,unknown,0,1,,,0,THB,,,0,0.09,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | Engage | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",65+,unknown,0,4,,,0,THB,,,0,0.08002641,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-24 Jul 2025",65+,unknown,0,2,,,0,THB,,,0,0.07001785,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-15 Jul 2025","3020 | BU DIA | MSG | 𝐒𝐡𝐢𝐧𝐞 𝐢𝐧 𝐉𝐮𝐥𝐲 𝐒𝐚𝐥𝐞 𝐮𝐩 𝐭𝐨 𝟔𝟎% 𝐨𝐟𝐟 | 1-7 Jul 2025",55-64,unknown,2,2,,,0,THB,,,0,0.04001894,2025-07-01,2025-07-31
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",25-34,female,0,0,,1,0,THB,,0,0,0,2025-07-01,2025-07-31
"3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68","3020 | BU DIA | Engage | Glow Up in July Sale up to 60% | 16-31 Jul 68",65+,unknown,0,1,,,0,THB,,,0,0,2025-07-01,2025-07-31
