"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",35-44,unknown,24,44,4,,6,THB,1.06,,13.63636364,4.24,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",55-64,male,80,180,16,,22,THB,0.25377792,,12.22222222,4.06044667,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",35-44,unknown,128,178,19,,27,THB,0.17579299,,15.16853933,3.3400668,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",45-54,unknown,32,82,11,,14,THB,0.29727966,,17.07317073,3.27007631,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",35-44,unknown,56,99,4,,5,THB,0.7325293,,5.05050505,2.93011721,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",35-44,unknown,32,105,7,,16,THB,0.41288192,,15.23809524,2.89017344,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",55-64,male,32,35,3,,4,THB,0.96333333,,11.42857143,2.89,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",35-44,unknown,112,125,24,,31,THB,0.11626279,,24.8,2.79030695,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | MSG | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",45-54,unknown,8,43,,,0,THB,,,0,2.73008978,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",65+,male,111,111,5,,7,THB,0.51201024,,6.30630631,2.5600512,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",45-54,unknown,32,80,6,,12,THB,0.38668987,,15,2.32013923,2025-06-01,2025-06-30
"3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | MSG | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",25-34,unknown,16,31,2,,4,THB,1.16,,12.90322581,2.32,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",25-34,unknown,8,86,10,,16,THB,0.2200154,,18.60465116,2.20015402,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",45-54,unknown,24,73,3,,4,THB,0.71336187,,5.47945205,2.1400856,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",45-54,unknown,32,81,10,,13,THB,0.21101477,,16.04938272,2.11014772,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",35-44,unknown,40,66,2,,2,THB,0.94502205,,3.03030303,1.89004411,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",35-44,unknown,73,73,4,1,7,THB,0.46503255,1.86013022,9.5890411,1.86013022,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",65+,male,64,82,7,,7,THB,0.26288606,,8.53658537,1.84020243,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",25-34,unknown,48,72,5,,9,THB,0.34202052,,12.5,1.71010262,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",25-34,unknown,56,65,2,,3,THB,0.8200328,,4.61538462,1.6400656,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",25-34,unknown,0,37,3,,2,THB,0.53334578,,5.40540541,1.60003734,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",25-34,unknown,32,46,5,,6,THB,0.22202442,,13.04347826,1.11012212,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",45-54,unknown,16,48,9,1,14,THB,0.10445594,0.94010342,29.16666667,0.94010342,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",45-54,unknown,0,26,2,,4,THB,0.400008,,15.38461538,0.800016,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",55-64,unknown,8,29,8,,4,THB,0.08750613,,13.79310345,0.70004901,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",55-64,unknown,8,14,,,0,THB,,,0,0.58001353,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",18-24,unknown,8,8,1,,1,THB,0.4400176,,12.5,0.4400176,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",18-24,unknown,0,4,,,0,THB,,,0,0.37000863,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",65+,unknown,8,8,,,0,THB,,,0,0.32000747,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",18-24,unknown,8,8,1,,1,THB,0.300021,,12.5,0.300021,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",65+,unknown,0,11,,,0,THB,,,0,0.2500175,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑩𝒍𝒐𝒐𝒎 𝒊𝒏 𝑺𝒊𝒎𝒑𝒍𝒊𝒄𝒊𝒕𝒚 | 7 - 30 June 2025",18-24,unknown,0,11,1,,1,THB,0.2300138,,9.09090909,0.2300138,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",55-64,unknown,7,7,,,0,THB,,,0,0.1800072,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",65+,unknown,0,9,,,0,THB,,,0,0.1600176,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",65+,unknown,0,6,,,0,THB,,,0,0.150003,2025-06-01,2025-06-30
