"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025","3020 | BU DIA | Engage | 𝑺𝒊𝒎𝒑𝒍𝒊𝒇𝒚 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 – 𝑻𝒉𝒆 𝑽 𝒐𝒇 𝑽𝒊𝒄𝒕𝒐𝒓𝒚 | 6-30 June 2025",55-64,male,328,735,41,,50,THB,0.58099885,,6.80272109,23.82095285,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",55-64,female,480,1023,96,,128,THB,0.24021314,,12.51221896,23.06046121,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",18-24,female,504,767,65,,86,THB,0.35216206,,11.2125163,22.89053416,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",45-54,male,560,908,114,1,158,THB,0.18579319,21.18042361,17.40088106,21.18042361,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",65+,female,464,900,110,,150,THB,0.18902079,,16.66666667,20.79228725,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",18-24,female,432,721,66,1,91,THB,0.30320304,20.01140088,12.62135922,20.01140088,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025","3020 | BU DIA | Engage | 𝑨𝒖𝒓𝒐𝒓𝒂 𝑷𝒆𝒂𝒓𝒍 𝟔 เครื่องประดับมุกแท้ | 6-30 June 2025",55-64,male,224,567,38,1,50,THB,0.45711593,17.37040535,8.81834215,17.37040535,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | 𝐒𝐇𝐈𝐍𝐄 𝐖𝐈𝐓𝐇 𝐏𝐑𝐈𝐃𝐄 | 1-15 June 2025",45-54,male,448,776,69,1,86,THB,0.24118595,16.64183068,11.08247423,16.64183068,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025","3020 | BU DIA | Engage | Pride Month Deals เริ่มต้นเพียง 22,900 | 1-30 June 2025",65+,female,288,688,64,,88,THB,0.20406658,,12.79069767,13.06026121,2025-06-01,2025-06-30
"3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025","3020 | BU DIA | Engage | 𝑵𝑬𝑾 𝑨𝑹𝑹𝑰𝑽𝑨𝑳 𝑺𝒆𝒓𝒆𝒏𝒊𝒕𝒚 𝑺𝒑𝒂𝒓𝒌𝒍𝒆 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 | 13 - 30 June 2025",65+,male,264,440,25,,48,THB,0.51483604,,10.90909091,12.87090102,2025-06-01,2025-06-30
