Campaign name,Ad name,Ad set name,Age,Gender,Reach,Impressions,Post engagements,Messaging conversations started,Clicks (all),Currency,Cost per post engagement,Cost per messaging conversation started,CTR (all),Amount spent (THB),Reporting starts,Reporting ends
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26 [Other-Province],45-54,female,1069,2634,93,7,171,THB,1.94376344,25.82428571,6.49202733,180.77,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],45-54,female,616,1754,33,2,69,THB,5.36969697,88.6,3.93386545,177.2,1/6/2026,30/6/2026
2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26,Pearl | Message | Pearl with Pride | 1 - 30 June 26,2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province] - Copy,25-34,female,1180,2864,42,7,109,THB,4.2119207,25.27152417,3.80586592,176.9006692,1/6/2026,30/6/2026
2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26,Message  | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province],25-34,female,1946,3910,54,7,172,THB,3.22259259,24.86,4.39897698,174.02,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],35-44,male,19207,21602,57,,28,THB,2.98041816,,0.12961763,169.8838349,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26  [BKK],35-44,female,19817,22286,154,1,87,THB,1.09467532,168.58,0.39037961,168.58,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],45-54,female,1098,2560,105,12,241,THB,1.58114286,13.835,9.4140625,166.02,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [Other-Province],25-34,female,1194,2392,31,3,82,THB,5.13132112,53.02365156,3.42809365,159.0709547,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26  [BKK],65+,female,14951,19054,116,,33,THB,1.27482759,,0.17319198,147.88,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],35-44,female,16357,18986,95,,35,THB,1.52941818,,0.18434636,145.2947272,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],45-54,female,15507,18266,91,,40,THB,1.52796653,,0.21898609,139.044954,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province],35-44,male,17107,19778,70,,20,THB,1.94426606,,0.10112246,136.0986245,1/6/2026,30/6/2026
2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26,Pearl | Message | Pearl with Pride | 1 - 30 June 26,2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26  [BKK],55-64,female,459,1153,24,6,70,THB,5.46177752,21.84711009,6.07111882,131.0826605,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],65+,female,13538,16796,64,,26,THB,2.03351995,,0.15479876,130.145277,1/6/2026,30/6/2026
2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26,Message  | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province],45-54,female,1127,2095,34,7,91,THB,3.72058824,18.07142857,4.34367542,126.5,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],45-54,male,12817,15436,37,,11,THB,3.29015087,,0.07126198,121.7355822,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],55-64,male,11714,14582,34,,10,THB,3.54222439,,0.0685777,120.4356294,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],35-44,male,418,1151,27,2,49,THB,4.42814815,59.78,4.25716768,119.56,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province],55-64,male,12601,15317,55,,21,THB,2.03743395,,0.13710257,112.0588674,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province],45-54,male,13280,15870,53,,15,THB,2.09299771,,0.09451796,110.9288789,1/6/2026,30/6/2026
2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26,Awareness | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Awareness | Mid Year Deals All in June | 1 - 30 June 26  [BKK],65+,male,10439,13676,48,1,24,THB,2.25479167,108.23,0.17548991,108.23,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],55-64,female,439,1124,56,5,94,THB,1.91928571,21.496,8.36298932,107.48,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],25-34,male,504,1437,29,2,45,THB,3.07793103,44.63,3.13152401,89.26,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26  [BKK],65+,male,8202,10617,44,,18,THB,1.93583884,,0.16953942,85.1769089,1/6/2026,30/6/2026
2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26,Awareness | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Awareness | Pearl with Pride | 1 - 30 June 26 [Other-Province],65+,male,8195,10758,50,,15,THB,1.59238391,,0.13943112,79.6191953,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [Other-Province],45-54,female,290,570,6,,12,THB,9.33613578,,2.10526316,56.01681469,1/6/2026,30/6/2026
2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26,Pearl | Message | Pearl with Pride | 1 - 30 June 26,2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province] - Copy,55-64,female,287,687,3,,21,THB,17.83774249,,3.05676856,53.51322748,1/6/2026,30/6/2026
2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26,Message  | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Message  | Pearl with Pride | 1 - 30 June 26  [BKK],55-64,female,301,582,21,1,29,THB,2.46428571,51.75,4.98281787,51.75,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK],35-44,male,232,657,27,5,67,THB,1.79408931,9.68808228,10.1978691,48.44041141,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],45-54,male,120,333,6,,10,THB,8.055,,3.003003,48.33,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26 [Other-Province],55-64,female,216,479,19,1,29,THB,2.31210526,43.93,6.05427975,43.93,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK],25-34,male,241,607,18,6,41,THB,2.34724216,7.04172647,6.75453048,42.25035884,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26 [Other-Province],55-64,female,190,376,21,6,36,THB,2.01095238,7.03833333,9.57446809,42.23,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],35-44,male,194,555,17,3,33,THB,2.25823529,12.79666667,5.94594595,38.39,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK],55-64,female,192,480,18,,41,THB,2.08668439,,8.54166667,37.56031901,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [Other-Province],35-44,male,182,375,8,2,15,THB,4.49224456,17.96897822,4,35.93795645,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],25-34,male,198,606,18,1,34,THB,1.90277778,34.25,5.61056106,34.25,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [Other-Province],25-34,male,269,545,9,1,12,THB,3.79978393,34.19805538,2.20183486,34.19805538,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],65+,female,99,261,14,2,29,THB,2.01428571,14.1,11.11111111,28.2,1/6/2026,30/6/2026
2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26,Message | Love is Sparkle | 1 - 15 June 26,2200 | DIA | Message | Love is Sparkle | 1 - 15 June 26 [BKK],55-64,female,107,272,8,1,9,THB,3.21625,25.73,3.30882353,25.73,1/6/2026,30/6/2026
2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26,Message  | Pearl with Pride | 1 - 30 June 26,2200 | DIA | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province],55-64,female,189,352,3,1,14,THB,8.50666667,25.52,3.97727273,25.52,1/6/2026,30/6/2026
2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26,2200 | DIA | Message | Best Seller - สร้อยข้อมือเพชร | 12 - 30 June 26  [BKK],45-54,male,111,286,10,,18,THB,2.532,,6.29370629,25.32,1/6/2026,30/6/2026
2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26,Message | Mid Year Deals All in June | 1 - 30 June 26,2200 | DIA | Message | Mid Year Deals All in June | 1 - 30 June 26  [BKK],45-54,male,92,263,13,5,21,THB,1.85540037,4.82404097,7.98479087,24.12020486,1/6/2026,30/6/2026
2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26,Pearl | Message | Pearl with Pride | 1 - 30 June 26,2200 | Pearl | Message | Pearl with Pride | 1 - 30 June 26 [Other-Province] - Copy,45-54,male,44,140,1,1,2,THB,23.50141741,23.50141741,1.42857143,23.50141741,1/6/2026,30/6/2026
