"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | DIA | Message | Jewel of July | 1 - 15 July 26","Message - Jewel of July - 1 - 15 July 26","2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK]",45-54,male,144,300,12,1,18,THB,2.88791943,34.65503314,6,34.65503314,2026-07-01,2026-07-06
"2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26","Pearl - Message -  Lovely in Pearls - 1 - 31 July 26","2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26 [Other-Province] - Copy",45-54,female,205,345,14,4,18,THB,2.45,8.575,5.2173913,34.3,2026-07-01,2026-07-06
"2200 | DIA | Message | Jewel of July | 1 - 15 July 26","Message - Jewel of July - 1 - 15 July 26","2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK]",65+,female,152,335,9,1,16,THB,3.16797022,28.51173201,4.7761194,28.51173201,2026-07-01,2026-07-06
"2200 | DIA | Message | Jewel of July | 1 - 15 July 26","Message - Jewel of July - 1 - 15 July 26","2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK]",25-34,male,237,561,11,1,14,THB,2.52637907,27.79016972,2.49554367,27.79016972,2026-07-01,2026-07-06
"2200 | DIA | Message | More Shine This July | 1 - 31 July 26","Message - More Shine This July - 1 - 31 July 26","2200 | DIA | Message | More Shine This July | 1 - 31 July 26  [BKK]",55-64,female,67,130,15,,19,THB,1.77911647,,14.61538462,26.68674703,2026-07-01,2026-07-06
"2200 | DIA | Message | Jewel of July | 1 - 15 July 26","Message - Jewel of July - 1 - 15 July 26","2200 | DIA | Message | Jewel of July | 1 - 15 July 26 [Other-Province]",55-64,female,135,233,8,,14,THB,2.83408143,,6.00858369,22.67265141,2026-07-01,2026-07-06
"2200 | DIA | Message | Wedding Package | 4 - 31 July 26","Message - Wedding Package - 4 - 31 July 26","2200 | DIA | Message | Wedding Package | 4 - 31 July 26  [BKK]",45-54,female,74,120,11,,14,THB,1.76593899,,11.66666667,19.42532892,2026-07-01,2026-07-06
"2200 | DIA | Message | Lovely in Pearls | 1 - 31 July 26","Message - Lovely in Pearls - 1 - 31 July 26","2200 | DIA | Message | Lovely in Pearls | 1 - 31 July 26  [BKK]",25-34,male,91,207,11,2,12,THB,1.41840357,7.80121966,5.79710145,15.60243931,2026-07-01,2026-07-06
"2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26","Pearl - Message -  Lovely in Pearls - 1 - 31 July 26","2200 | Pearl | Message |  Lovely in Pearls | 1 - 31 July 26  [BKK]",25-34,male,107,219,9,2,11,THB,1.69442435,7.62490958,5.02283105,15.24981917,2026-07-01,2026-07-06
"2200 | DIA | Message | Jewel of July | 1 - 15 July 26","Message - Jewel of July - 1 - 15 July 26","2200 | DIA | Message | Jewel of July | 1 - 15 July 26  [BKK]",65+,male,18,53,1,1,4,THB,14.99246084,14.99246084,7.54716981,14.99246084,2026-07-01,2026-07-06
