"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",35-44,unknown,48,78,3,,3,THB,0.8100162,,3.84615385,2.43004861,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | One Price (LEVA) ราคาเดียว 39,900.- | 3 - 15 APR 2025",25-34,unknown,40,75,4,,5,THB,0.59249704,,6.66666667,2.36998815,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | MSG | Promotion : Online Exclusive เริ่มต้นเพียง 9,200. - | 02-31 MAR 2025",25-34,unknown,8,16,,,1,THB,,,6.25,2.34001564,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",65+,male,8,38,1,,2,THB,2.06,,5.26315789,2.06,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",35-44,unknown,48,98,8,,9,THB,0.2475,,9.18367347,1.98,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | Engage | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",25-34,unknown,40,49,3,,4,THB,0.5633446,,8.16326531,1.6900338,2025-04-01,2025-04-30
"3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025","3020 | BU DIA | MSG | ARP :  One Price (STD) ราคาเดียว 14,500.- | 1 - 31 APR 2025",45-54,unknown,6,6,,,1,THB,,,16.66666667,1.68,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025","3020 | BU DIA | Engage | Product : Aura Collection Model | 3-31 MAr2025",55-64,unknown,29,29,2,,2,THB,0.7950159,,6.89655172,1.5900318,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025","3020 | BU DIA | Engage | Online Exclusive เริ่มต้นเพียง 9,200. - | 2 - 15 APR 2025",25-34,unknown,24,53,4,,4,THB,0.34750695,,7.54716981,1.3900278,2025-04-01,2025-04-30
"3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | Hot Deal ลดสูงสุด 50% | 16-30 ARP 2025","3020 | BU DIA | Engage | One Price (STD) ราคาเดียว 14,500.- | 16-30 ARP 2025",45-54,unknown,48,64,4,,5,THB,0.3425,,7.8125,1.37,2025-04-01,2025-04-30
