"Campaign name","Ad name","Ad set name",Age,Gender,Reach,Impressions,"Post engagements","Messaging conversations started","Clicks (all)",Currency,"Cost per post engagement","Cost per messaging conversation started","CTR (all)","Amount spent (THB)","Reporting starts","Reporting ends"
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [Other-Province]",35-44,unknown,8,15,2,,3,THB,0.38500629,,20,0.77001259,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Summer shine LEVA Collection | 18 - 30 April 26","Summer shine LEVA Collection | 18 - 30 April 26","2200 | BU DIA | Message | Summer shine LEVA Collection | 18 - 30 April 26 - [Other-Province]",25-34,unknown,11,23,1,,1,THB,0.76003129,,4.34782609,0.76003129,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",25-34,unknown,18,26,,,0,THB,,,0,0.74997039,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",65+,unknown,1,1,,,0,THB,,,0,0.71,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26","Summer shine LEVA Collection | 18 - 30 April 26","2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26 - [BKK]",25-34,unknown,2,3,,,0,THB,,,0,0.7,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","2200 | BU DIA | Engage | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26 - [BKK]",35-44,unknown,13,16,,,0,THB,,,0,0.7,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Shine Your Way | 18 - 30 April 26","Shine Your Way | 18 - 30 April 26","2200 | BU DIA | Message | Shine Your Way | 18 - 30 April 26 - [Other-Province]",25-34,unknown,9,10,,,0,THB,,,0,0.69,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26","Summer shine LEVA Collection | 18 - 30 April 26","2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26 - [Other-Province]",55-64,unknown,2,3,,,0,THB,,,0,0.68,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [Other-Province]",45-54,unknown,6,12,2,,2,THB,0.33500548,,16.66666667,0.67001095,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Engage | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Engage | Pearl Summer Duo sale | 1-30 April 26 - [BKK]",45-54,unknown,7,9,,,0,THB,,,0,0.6699964,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26","Summer shine LEVA Collection | 18 - 30 April 26","2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26 - [BKK]",35-44,unknown,4,6,1,,1,THB,0.63,,16.66666667,0.63,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26","Summer shine LEVA Collection | 18 - 30 April 26","2200 | BU DIA | Engage | Summer shine LEVA Collection | 18 - 30 April 26 - [Other-Province]",35-44,unknown,3,3,,,0,THB,,,0,0.63,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26","Wedding Package Aurora Diamond | 2 - 30 April 26","2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26 - [BKK]",25-34,unknown,1,9,1,,1,THB,0.59,,11.11111111,0.59,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [Other-Province]",55-64,unknown,1,10,,,0,THB,,,0,0.58,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [BKK]",25-34,unknown,14,15,,,0,THB,,,0,0.55,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26","2200 | BU DIA | Engage | สงกรานต์นี้… ช้อปเพชรรับสุข สนุก x2 | 2 - 17 April 26 - [Other-Province]",45-54,unknown,8,10,,,0,THB,,,0,0.55,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26","Wedding Package Aurora Diamond | 2 - 30 April 26","2200 | BU DIA | Message | Wedding Package Aurora Diamond | 2 - 30 April 26 - [BKK]",65+,male,5,6,,,0,THB,,,0,0.52,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26 - [Other-Province]",35-44,unknown,2,2,,,0,THB,,,0,0.51000918,2026-04-01,2026-04-30
"2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA x Pearl | Message | Pearl Summer Duo sale | 1-30 April 26 - [Other-Province]",55-64,male,24,26,2,,1,THB,0.24500401,,3.84615385,0.49000801,2026-04-01,2026-04-30
"2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26","Pearl Summer Duo sale | 1-30 April 26","2200 | BU DIA | Message | Pearl Summer Duo sale | 1-30 April 26 - [Other-Province]",18-24,unknown,12,22,,,0,THB,,,0,0.47000846,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26","2200 | BU DIA | Engage | Songkran sale - สาดความสุข ช้อปสนุกทุกชิ้น | 1-15 April 26 - [Other-Province]",45-54,unknown,5,8,,,0,THB,,,0,0.42,2026-04-01,2026-04-30
"2200 | BU DIA | Engage | A Summer shine | 16 - 30 April 26","A Summer shine | 16 - 30 April 26","2200 | BU DIA | Engage | A Summer shine | 16 - 30 April 26 - [Other-Province]",45-54,unknown,7,10,,,0,THB,,,0,0.41999375,2026-04-01,2026-04-30
